,State.Name,Employment.Type,Position.Name_1,Position.Of.Interest_1
276,14.0,4.0,155.0,40.0
277,14.0,4.0,188.0,40.0
278,14.0,4.0,188.0,40.0
279,14.0,4.0,155.0,29.0
280,14.0,4.0,188.0,29.0
281,14.0,4.0,188.0,29.0
282,14.0,4.0,155.0,46.0
283,14.0,4.0,188.0,46.0
284,14.0,4.0,188.0,46.0
285,14.0,4.0,155.0,61.0
286,14.0,4.0,188.0,61.0
287,14.0,4.0,188.0,61.0
288,14.0,4.0,155.0,22.0
289,14.0,4.0,188.0,22.0
290,14.0,4.0,188.0,22.0
291,14.0,4.0,155.0,40.0
292,14.0,4.0,188.0,40.0
293,14.0,4.0,188.0,40.0
294,14.0,4.0,155.0,29.0
295,14.0,4.0,188.0,29.0
296,14.0,4.0,188.0,29.0
297,14.0,4.0,155.0,46.0
298,14.0,4.0,188.0,46.0
299,14.0,4.0,188.0,46.0
300,14.0,4.0,155.0,61.0
301,14.0,4.0,188.0,61.0
302,14.0,4.0,188.0,61.0
303,14.0,4.0,155.0,22.0
304,14.0,4.0,188.0,22.0
305,14.0,4.0,188.0,22.0
306,14.0,4.0,155.0,40.0
307,14.0,4.0,188.0,40.0
308,14.0,4.0,188.0,40.0
309,14.0,4.0,155.0,29.0
310,14.0,4.0,188.0,29.0
311,14.0,4.0,188.0,29.0
312,14.0,4.0,155.0,46.0
313,14.0,4.0,188.0,46.0
314,14.0,4.0,188.0,46.0
315,14.0,4.0,155.0,61.0
316,14.0,4.0,188.0,61.0
317,14.0,4.0,188.0,61.0
318,14.0,4.0,155.0,22.0
319,14.0,4.0,188.0,22.0
320,14.0,4.0,188.0,22.0
321,12.0,2.0,382.0,61.0
322,12.0,2.0,389.0,61.0
323,12.0,2.0,382.0,22.0
324,12.0,2.0,389.0,22.0
325,12.0,2.0,382.0,62.0
326,12.0,2.0,389.0,62.0
327,12.0,2.0,382.0,61.0
328,12.0,2.0,389.0,61.0
329,12.0,2.0,382.0,22.0
330,12.0,2.0,389.0,22.0
331,12.0,2.0,382.0,62.0
332,12.0,2.0,389.0,62.0
333,20.0,5.0,43.0,71.0
334,20.0,5.0,382.0,71.0
335,20.0,5.0,43.0,10.0
336,20.0,5.0,382.0,10.0
337,20.0,5.0,43.0,29.0
338,20.0,5.0,382.0,29.0
339,20.0,5.0,43.0,61.0
340,20.0,5.0,382.0,61.0
341,20.0,5.0,43.0,13.0
342,20.0,5.0,382.0,13.0
343,20.0,5.0,43.0,22.0
344,20.0,5.0,382.0,22.0
345,20.0,5.0,43.0,2.0
346,20.0,5.0,382.0,2.0
347,20.0,5.0,43.0,8.0
348,20.0,5.0,382.0,8.0
349,20.0,5.0,43.0,52.0
350,20.0,5.0,382.0,52.0
351,20.0,5.0,43.0,71.0
352,20.0,5.0,382.0,71.0
353,20.0,5.0,43.0,10.0
354,20.0,5.0,382.0,10.0
355,20.0,5.0,43.0,29.0
356,20.0,5.0,382.0,29.0
357,20.0,5.0,43.0,61.0
358,20.0,5.0,382.0,61.0
359,20.0,5.0,43.0,13.0
360,20.0,5.0,382.0,13.0
361,20.0,5.0,43.0,22.0
362,20.0,5.0,382.0,22.0
363,20.0,5.0,43.0,2.0
364,20.0,5.0,382.0,2.0
365,20.0,5.0,43.0,8.0
366,20.0,5.0,382.0,8.0
367,20.0,5.0,43.0,52.0
368,20.0,5.0,382.0,52.0
369,20.0,5.0,43.0,71.0
370,20.0,5.0,382.0,71.0
371,20.0,5.0,43.0,10.0
372,20.0,5.0,382.0,10.0
373,20.0,5.0,43.0,29.0
374,20.0,5.0,382.0,29.0
375,20.0,5.0,43.0,61.0
376,20.0,5.0,382.0,61.0
377,20.0,5.0,43.0,13.0
378,20.0,5.0,382.0,13.0
379,20.0,5.0,43.0,22.0
380,20.0,5.0,382.0,22.0
381,20.0,5.0,43.0,2.0
382,20.0,5.0,382.0,2.0
383,20.0,5.0,43.0,8.0
384,20.0,5.0,382.0,8.0
385,20.0,5.0,43.0,52.0
386,20.0,5.0,382.0,52.0
387,20.0,5.0,261.0,61.0
388,20.0,5.0,260.0,61.0
389,20.0,5.0,12.0,61.0
390,20.0,5.0,261.0,58.0
391,20.0,5.0,260.0,58.0
392,20.0,5.0,12.0,58.0
393,9.0,5.0,178.0,71.0
394,9.0,5.0,304.0,71.0
395,9.0,5.0,207.0,71.0
396,9.0,5.0,265.0,71.0
397,9.0,5.0,133.0,71.0
398,9.0,5.0,81.0,71.0
399,9.0,5.0,178.0,40.0
400,9.0,5.0,304.0,40.0
401,9.0,5.0,207.0,40.0
402,9.0,5.0,265.0,40.0
403,9.0,5.0,133.0,40.0
404,9.0,5.0,81.0,40.0
405,9.0,5.0,178.0,10.0
406,9.0,5.0,304.0,10.0
407,9.0,5.0,207.0,10.0
408,9.0,5.0,265.0,10.0
409,9.0,5.0,133.0,10.0
410,9.0,5.0,81.0,10.0
411,9.0,5.0,178.0,11.0
412,9.0,5.0,304.0,11.0
413,9.0,5.0,207.0,11.0
414,9.0,5.0,265.0,11.0
415,9.0,5.0,133.0,11.0
416,9.0,5.0,81.0,11.0
417,9.0,5.0,178.0,61.0
418,9.0,5.0,304.0,61.0
419,9.0,5.0,207.0,61.0
420,9.0,5.0,265.0,61.0
421,9.0,5.0,133.0,61.0
422,9.0,5.0,81.0,61.0
423,9.0,5.0,178.0,22.0
424,9.0,5.0,304.0,22.0
425,9.0,5.0,207.0,22.0
426,9.0,5.0,265.0,22.0
427,9.0,5.0,133.0,22.0
428,9.0,5.0,81.0,22.0
429,9.0,5.0,178.0,62.0
430,9.0,5.0,304.0,62.0
431,9.0,5.0,207.0,62.0
432,9.0,5.0,265.0,62.0
433,9.0,5.0,133.0,62.0
434,9.0,5.0,81.0,62.0
435,9.0,5.0,366.0,29.0
436,9.0,5.0,366.0,29.0
437,9.0,5.0,365.0,29.0
438,9.0,5.0,366.0,61.0
439,9.0,5.0,366.0,61.0
440,9.0,5.0,365.0,61.0
441,9.0,5.0,366.0,36.0
442,9.0,5.0,366.0,36.0
443,9.0,5.0,365.0,36.0
444,9.0,5.0,366.0,29.0
445,9.0,5.0,366.0,29.0
446,9.0,5.0,365.0,29.0
447,9.0,5.0,366.0,61.0
448,9.0,5.0,366.0,61.0
449,9.0,5.0,365.0,61.0
450,9.0,5.0,366.0,36.0
451,9.0,5.0,366.0,36.0
452,9.0,5.0,365.0,36.0
453,6.0,4.0,101.0,40.0
454,6.0,4.0,101.0,61.0
455,6.0,4.0,101.0,22.0
456,6.0,4.0,101.0,13.0
457,6.0,4.0,101.0,101.0
458,6.0,4.0,101.0,40.0
459,6.0,4.0,101.0,61.0
460,6.0,4.0,101.0,22.0
461,6.0,4.0,101.0,13.0
462,6.0,4.0,101.0,101.0
463,7.0,4.0,338.0,61.0
464,8.0,4.0,206.0,61.0
465,7.0,4.0,338.0,13.0
466,8.0,4.0,206.0,13.0
467,7.0,4.0,338.0,22.0
468,8.0,4.0,206.0,22.0
469,7.0,4.0,338.0,62.0
470,8.0,4.0,206.0,62.0
471,7.0,4.0,338.0,61.0
472,8.0,4.0,206.0,61.0
473,7.0,4.0,338.0,13.0
474,8.0,4.0,206.0,13.0
475,7.0,4.0,338.0,22.0
476,8.0,4.0,206.0,22.0
477,7.0,4.0,338.0,62.0
478,8.0,4.0,206.0,62.0
479,24.0,4.0,276.0,61.0
480,24.0,4.0,95.0,61.0
481,24.0,4.0,277.0,61.0
482,24.0,4.0,208.0,61.0
483,24.0,4.0,276.0,22.0
484,24.0,4.0,95.0,22.0
485,24.0,4.0,277.0,22.0
486,24.0,4.0,208.0,22.0
487,13.0,5.0,70.0,13.0
488,13.0,5.0,70.0,22.0
489,13.0,5.0,70.0,62.0
490,8.0,2.0,300.0,61.0
491,8.0,2.0,161.0,61.0
492,22.0,2.0,376.0,61.0
493,25.0,2.0,157.0,61.0
494,25.0,2.0,403.0,61.0
495,8.0,2.0,300.0,22.0
496,8.0,2.0,161.0,22.0
497,22.0,2.0,376.0,22.0
498,25.0,2.0,157.0,22.0
499,25.0,2.0,403.0,22.0
500,8.0,2.0,300.0,62.0
501,8.0,2.0,161.0,62.0
502,22.0,2.0,376.0,62.0
503,25.0,2.0,157.0,62.0
504,25.0,2.0,403.0,62.0
505,8.0,2.0,300.0,77.0
506,8.0,2.0,161.0,77.0
507,22.0,2.0,376.0,77.0
508,25.0,2.0,157.0,77.0
509,25.0,2.0,403.0,77.0
510,8.0,2.0,300.0,61.0
511,8.0,2.0,161.0,61.0
512,22.0,2.0,376.0,61.0
513,25.0,2.0,157.0,61.0
514,25.0,2.0,403.0,61.0
515,8.0,2.0,300.0,22.0
516,8.0,2.0,161.0,22.0
517,22.0,2.0,376.0,22.0
518,25.0,2.0,157.0,22.0
519,25.0,2.0,403.0,22.0
520,8.0,2.0,300.0,62.0
521,8.0,2.0,161.0,62.0
522,22.0,2.0,376.0,62.0
523,25.0,2.0,157.0,62.0
524,25.0,2.0,403.0,62.0
525,8.0,2.0,300.0,77.0
526,8.0,2.0,161.0,77.0
527,22.0,2.0,376.0,77.0
528,25.0,2.0,157.0,77.0
529,25.0,2.0,403.0,77.0
530,8.0,2.0,300.0,61.0
531,8.0,2.0,161.0,61.0
532,22.0,2.0,376.0,61.0
533,25.0,2.0,157.0,61.0
534,25.0,2.0,403.0,61.0
535,8.0,2.0,300.0,22.0
536,8.0,2.0,161.0,22.0
537,22.0,2.0,376.0,22.0
538,25.0,2.0,157.0,22.0
539,25.0,2.0,403.0,22.0
540,8.0,2.0,300.0,62.0
541,8.0,2.0,161.0,62.0
542,22.0,2.0,376.0,62.0
543,25.0,2.0,157.0,62.0
544,25.0,2.0,403.0,62.0
545,8.0,2.0,300.0,77.0
546,8.0,2.0,161.0,77.0
547,22.0,2.0,376.0,77.0
